Date,Mkt-RF,SMB,HML,RF
20220526,2.18,0.19,-0.62,0.001
20220527,2.58,0.37,-1.31,0.001
20220531,-0.71,-0.49,0.44,0.001
20220601,-0.75,0.19,0.79,0.003
20220602,2.09,0.84,-2.07,0.003
20220603,-1.63,0.85,0.53,0.003
20220606,0.33,-0.01,0.65,0.003
20220607,0.99,0.32,-0.15,0.003
20220608,-1.02,-0.09,-0.53,0.003
20220609,-2.44,0.31,0.26,0.003
20220610,-3,0.11,0.62,0.003
20220613,-4.13,-0.67,0.62,0.003
20220614,-0.25,0.22,0.12,0.003
20220615,1.55,0.28,-1.65,0.003
20220616,-3.52,-1.18,0.03,0.003
20220617,0.47,1.11,-2.62,0.003
20220621,2.38,-0.75,0.23,0.003
20220622,-0.18,0.19,-1.77,0.003
20220623,1.13,0.8,-3.85,0.003
20220624,3.11,-0.37,-0.04,0.003
20220627,-0.28,0.57,1.24,0.003
20220628,-2.1,-0.35,2.36,0.003
20220629,-0.2,-0.45,-1.3,0.003
20220630,-0.96,0.41,-0.14,0.003
20220701,1.15,0.03,0.11,0.004
20220705,0.49,1.78,-3.35,0.004
20220706,0.17,-0.75,-0.72,0.004
20220707,1.77,0.99,-0.98,0.004
20220708,-0.07,0.11,-0.06,0.004
20220711,-1.39,-1.3,1.59,0.004
20220712,-0.88,0.74,0.51,0.004
20220713,-0.39,0.45,-0.39,0.004
20220714,-0.41,-0.27,-1.01,0.004
20220715,1.95,-0.07,0.45,0.004
20220718,-0.71,0.21,1.02,0.004
20220719,2.8,0.91,-0.56,0.004
20220720,0.89,1.48,-1.31,0.004
20220721,0.97,0.05,-1.61,0.004
20220722,-1.19,-1.08,1.38,0.004
20220725,0.11,-0.31,1.68,0.004
20220726,-1.32,0.09,1.06,0.004
20220727,2.72,0.49,-1.27,0.004
20220728,1.19,0.08,-0.87,0.004
20220729,1.44,-0.96,0.45,0.004
20220801,-0.19,0.33,-0.26,0.008
20220802,-0.49,0.91,-1.4,0.008
